Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,SHORT_SMA,MEDIUM_SMA,SIGNAL,BM_RET,BM_EOD_BAL,BM_PNL,RETURNS,EOD_BAL,PNL,BM_EOD_BAL,BM_PNL,BM_EOD_BAL,PNL
10/5/2000,1314.900000,1325.000000,1290.000000,1291.600000,1291.600000,1289.940000,1.000000,-0.013180,883447.332421,0.000000,-0.013180,1189072.885213,0.000000,986820.491271,0.000000,986820.491271,0.000000
10/6/2000,1285.000000,1294.000000,1273.000000,1293.100000,1293.100000,1286.105000,1.000000,0.001161,884473.324213,0.000000,0.001161,1190453.815322,0.000000,987966.535508,0.000000,987966.535508,0.000000
10/9/2000,1288.000000,1288.000000,1274.100000,1275.000000,1275.000000,1286.315000,1.000000,-0.013997,872093.023256,-23153.214774,-0.013997,1173790.592015,-31162.989443,974137.601711,-25862.398289,974137.601711,-25862.398289
10/10/2000,1271.000000,1277.200000,1235.000000,1245.200000,1245.200000,1281.500000,-1.000000,-0.023373,851709.986320,0.000000,0.023373,1201225.070166,0.000000,976627.450980,0.000000,1023372.549020,0.000000
10/11/2000,1230.000000,1230.050000,1202.500000,1210.400000,1210.400000,1275.960000,-1.000000,-0.027947,827906.976744,0.000000,0.027947,1234796.088831,0.000000,949333.333333,0.000000,1051973.066772,0.000000
10/12/2000,1195.000000,1219.500000,1190.000000,1214.250000,1214.250000,1267.895000,-1.000000,0.003181,830540.355677,0.000000,-0.003181,1230868.490564,0.000000,952352.941176,0.000000,1048626.985884,0.000000
10/13/2000,1192.950000,1195.000000,1178.750000,1184.750000,1184.750000,1259.665000,-1.000000,-0.024295,810362.517100,0.000000,0.024295,1260772.234004,0.000000,929215.686275,0.000000,1074103.202548,0.000000
10/16/2000,1227.000000,1229.000000,1183.500000,1185.050000,1185.050000,1249.890000,-1.000000,0.000253,810567.715458,0.000000,-0.000253,1260452.983808,0.000000,929450.980392,0.000000,1073831.220306,0.000000
10/17/2000,1172.000000,1175.000000,1150.000000,1164.400000,1164.400000,1237.260000,-1.000000,-0.017425,796443.228454,0.000000,0.017425,1282416.912853,0.000000,913254.901961,0.000000,1092543.185792,0.000000
10/18/2000,1151.000000,1157.000000,1133.000000,1140.900000,1140.900000,1220.465000,-1.000000,-0.020182,780369.357045,0.000000,0.020182,1308298.738216,0.000000,894823.529412,0.000000,1114592.966680,0.000000
10/19/2000,1168.800000,1168.800000,1111.150000,1168.800000,1168.800000,1208.185000,-1.000000,0.024454,799452.804378,0.000000,-0.024454,1276305.106174,0.000000,916705.882353,0.000000,1087336.288820,0.000000
10/20/2000,1200.000000,1214.000000,1078.000000,1138.850000,1138.850000,1192.760000,-1.000000,-0.025625,778967.168263,0.000000,0.025625,1309009.878531,0.000000,893215.686275,0.000000,1115198.816071,0.000000
10/23/2000,1165.000000,1165.000000,1142.500000,1144.900000,1144.900000,1179.750000,-1.000000,0.005312,783105.335157,0.000000,-0.005312,1302055.925187,0.000000,897960.784314,0.000000,1109274.460065,0.000000
10/24/2000,1136.000000,1155.000000,1136.000000,1153.050000,1153.050000,1170.535000,-1.000000,0.007119,788679.890561,0.000000,-0.007119,1292787.206705,0.000000,904352.941176,0.000000,1101378.061384,0.000000
10/25/2000,1164.000000,1189.700000,1164.000000,1182.850000,1182.850000,1167.780000,-1.000000,0.025844,809062.927497,-63030.095759,-0.025844,1259375.768554,85585.176539,927725.490196,-72274.509804,1072913.496769,72913.496769
10/27/2000,1205.000000,1205.000000,1181.300000,1188.900000,1188.900000,1165.245000,1.000000,0.005115,813201.094391,0.000000,0.005115,1265817.179891,0.000000,1005114.765186,0.000000,1005114.765186,0.000000
